Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.31333333333333335,0.49,1.472858691215515,1.669318552017212
2,0.4841666666666667,0.5625,1.1913155543804168,1.0421967154741287
3,0.5491666666666667,0.6125,1.0798601818084717,1.007294811308384
4,0.5975,0.6175,0.9971422803401947,0.9306191274523735
5,0.6383333333333333,0.59,0.9089561545848847,1.1188323502242565
6,0.6525,0.6175,0.8518294310569763,0.9241576915979386
7,0.6508333333333334,0.6075,0.8449237459897995,1.1433739587664604
8,0.6583333333333333,0.56,0.8407287323474884,1.2327220416069031
9,0.6725,0.6425,0.8186372768878937,0.8583061075210572
10,0.7025,0.6125,0.7649369704723358,0.9860211056470871
11,0.7008333333333333,0.62,0.7549231016635894,0.9838915392756462
12,0.7066666666666667,0.6175,0.7203677958250045,1.0165221750736237
13,0.7166666666666667,0.625,0.7378169012069702,0.9970902955532074
14,0.7075,0.6125,0.7497481924295425,1.0339931824803352
15,0.705,0.6325,0.7285690361261368,0.9655651664733886
16,0.695,0.6225,0.7326945114135742,0.9931341144442558
17,0.7008333333333333,0.625,0.7448924803733825,0.9902285894751549
18,0.7016666666666667,0.6125,0.712685644030571,1.0422667080163956
19,0.7091666666666666,0.6275,0.7194319808483124,0.9946059158444405
20,0.705,0.6275,0.7138365125656128,1.0086187747120858
