Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5808333333333333,0.645,1.0618491780757904,0.8382217729091644,0.7656177047343357,0.8488180318856515
2,0.6466666666666666,0.6375,0.8446955561637879,0.9381793665885926,0.8259275134543029,0.8488180318856515
3,0.6941666666666667,0.695,0.791650020480156,0.8658493533730507,0.8310977524561483,0.8488180318856515
4,0.6833333333333333,0.6975,0.7649077254533768,0.8477990460395813,0.841522491349481,0.8488180318856515
5,0.7358333333333333,0.6525,0.68492551445961,0.9494844350218773,0.8677466593446824,0.8488180318856515
6,0.7325,0.705,0.6952963590621948,0.8962749308347702,0.8619680252195452,0.8488180318856515
7,0.7541666666666667,0.695,0.6644455707073211,1.0583288995921611,0.875348794657152,0.8488180318856515
8,0.7533333333333333,0.655,0.6550106799602509,0.8608487159013748,0.8614482663857463,0.8488180318856515
9,0.7783333333333333,0.6525,0.6150479632616043,1.0069274830818176,0.8691288820577732,0.8488180318856515
10,0.7866666666666666,0.6525,0.534807544350624,1.062628775537014,0.8934403542762248,0.8488180318856515
11,0.8183333333333334,0.68,0.5031603336334228,0.9141906952857971,0.9060150375939849,0.8488180318856515
12,0.8516666666666667,0.705,0.397647020816803,0.9388119134306908,0.9231260550207583,0.8488180318856515
13,0.8575,0.705,0.392984094619751,0.972381202429533,0.9341181797600181,0.8488180318856515
14,0.8725,0.695,0.34951023787260055,0.9721107749640941,0.9428675070282035,0.8488180318856515
15,0.8908333333333334,0.6975,0.311529902368784,1.0399525582790374,0.9376989540700318,0.8488180318856515
16,0.89,0.6875,0.31391713097691537,1.0296123376488686,0.9448386358434424,0.8488180318856515
17,0.8991666666666667,0.685,0.27788323238492013,1.1007355757057666,0.9539485683020245,0.8488180318856515
18,0.9158333333333334,0.705,0.2364586417376995,1.1103268526494503,0.9625433948474329,0.8488180318856515
19,0.9041666666666667,0.6825,0.2859000198543072,1.112161594927311,0.9519797046298814,0.8488180318856515
20,0.9125,0.6925,0.25161721229553224,1.141146054416895,0.9608057606416918,0.8488180318856515
