Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.25416666666666665,0.345,1.5641576910018922,1.590748324394226
2,0.35833333333333334,0.21,1.415819869041443,1.605138349533081
3,0.4583333333333333,0.18,1.2987740743160248,2.474495913982391
4,0.4508333333333333,0.0875,1.2570243418216704,2.15942004442215
5,0.4766666666666667,0.17,1.1989076268672942,2.8862435698509215
6,0.5216666666666666,0.1575,1.1691344451904297,3.123235249519348
7,0.5383333333333333,0.1325,1.1148652088642121,3.110572633743286
8,0.5075,0.1575,1.1035327899456024,3.574309012889862
9,0.5341666666666667,0.0625,1.1038701581954955,2.34706778049469
10,0.5408333333333334,0.0875,1.0310767054557801,2.5891321420669557
11,0.5725,0.0875,0.9974564564228058,2.756991612911224
12,0.5933333333333334,0.08,0.9622504377365112,2.78174699306488
13,0.5908333333333333,0.095,0.9548862040042877,2.8334040069580078
14,0.5808333333333333,0.105,0.961363445520401,2.878536012172699
15,0.5983333333333334,0.1075,0.9574345457553863,2.9158918023109437
16,0.5933333333333334,0.105,0.9434805411100388,2.893439083099365
17,0.5908333333333333,0.105,0.9357639718055725,2.875913963317871
18,0.5908333333333333,0.1025,0.9315135109424592,2.8589802289009096
19,0.5816666666666667,0.08,0.9602582788467408,2.7362027263641355
20,0.5933333333333334,0.0775,0.9430045986175537,2.788674302101135
