model_name,train_acc,train_loss,val_acc,val_loss,train_kappa,val_kappa
EfficientNet,0.5975,1.0792616772651673,0.69,0.8727945851929048,0.4743715311785831,0.5935758767617174
EfficientNet,0.3375,1.5848052453994752,0.38,1.5900440777049345,0.11715713492504176,0.15989159891598925
EfficientNet,0.3275,1.5840133476257323,0.38,1.5900440777049345,0.10353254832259495,0.15989159891598925
EfficientNet,0.3325,1.5824063372612,0.38,1.5900440777049345,0.11049416990560801,0.15989159891598925
EfficientNet,0.33916666666666667,1.5823991990089417,0.38,1.5900440777049345,0.1180068957846735,0.15989159891598925
EfficientNet,0.32916666666666666,1.5832759046554565,0.38,1.5900440777049345,0.10625069390474073,0.15989159891598925
EfficientNet,0.32666666666666666,1.582229585647583,0.38,1.5900440777049345,0.10132354576799019,0.15989159891598925
EfficientNet,0.33666666666666667,1.5831049156188965,0.38,1.5900440777049345,0.11467022578133679,0.15989159891598925
EfficientNet,0.31833333333333336,1.5830300807952882,0.38,1.5900440777049345,0.09151488227454463,0.15989159891598925
EfficientNet,0.3333333333333333,1.5822591710090637,0.38,1.5900440777049345,0.1116046640755135,0.15989159891598925
EfficientNet,0.3416666666666667,1.5839128994941711,0.38,1.5900440777049345,0.12270960577456969,0.15989159891598925
EfficientNet,0.33,1.582023024559021,0.38,1.5900440777049345,0.10933865071452298,0.15989159891598925
EfficientNet,0.32916666666666666,1.5835826659202576,0.38,1.5900440777049345,0.10475978647686823,0.15989159891598925
EfficientNet,0.335,1.5828583693504334,0.38,1.5900440777049345,0.11313625250055559,0.15989159891598925
EfficientNet,0.325,1.5821193480491638,0.38,1.5900440777049345,0.10059960026648906,0.15989159891598925
EfficientNet,0.3375,1.582654037475586,0.38,1.5900440777049345,0.11715713492504165,0.15989159891598925
EfficientNet,0.35333333333333333,1.584307553768158,0.38,1.5900440777049345,0.13710663849660842,0.15989159891598925
EfficientNet,0.3283333333333333,1.5841855692863465,0.38,1.5900440777049345,0.10444444444444445,0.15989159891598925
EfficientNet,0.335,1.5835348343849183,0.38,1.5900440777049345,0.11431742508324083,0.15989159891598925
EfficientNet,0.33,1.5851890540122986,0.38,1.5900440777049345,0.10696434521826048,0.15989159891598925
