model_name,train_acc,train_loss,val_acc,val_loss,train_kappa,val_kappa
DenseNet121,0.51,1.2043105053901673,0.6025,1.0322082200471092,0.35582822085889576,0.47714567576455114
DenseNet121,0.235,1.5894398856163026,0.38,1.5900440777049345,0.005417118093174356,0.15989159891598925
DenseNet121,0.3275,1.5814711117744447,0.38,1.5900440777049345,0.10482529118136441,0.15989159891598925
DenseNet121,0.31833333333333336,1.5816067004203795,0.38,1.5900440777049345,0.09211986681465034,0.15989159891598925
DenseNet121,0.3258333333333333,1.5812614035606385,0.38,1.5900440777049345,0.10210876803551605,0.15989159891598925
DenseNet121,0.33166666666666667,1.5819014048576354,0.38,1.5900440777049345,0.11135734072022163,0.15989159891598925
DenseNet121,0.33,1.5828852772712707,0.38,1.5900440777049345,0.10736094148995223,0.15989159891598925
DenseNet121,0.3333333333333333,1.5849159264564514,0.38,1.5900440777049345,0.11288534043025067,0.15989159891598925
DenseNet121,0.33416666666666667,1.5859119009971618,0.38,1.5900440777049345,0.11241946234170175,0.15989159891598925
DenseNet121,0.3275,1.583913164138794,0.38,1.5900440777049345,0.1023359288097887,0.15989159891598925
DenseNet121,0.3325,1.5841642284393311,0.38,1.5900440777049345,0.1118749307018515,0.15989159891598925
DenseNet121,0.3458333333333333,1.5811902427673339,0.38,1.5900440777049345,0.1272929405225125,0.15989159891598925
DenseNet121,0.32916666666666666,1.5820125603675843,0.38,1.5900440777049345,0.10882320380825872,0.15989159891598925
DenseNet121,0.33666666666666667,1.5817551469802857,0.38,1.5900440777049345,0.11663522361558087,0.15989159891598925
DenseNet121,0.335,1.583851330280304,0.38,1.5900440777049345,0.11382565241532472,0.15989159891598925
DenseNet121,0.34,1.5825407934188842,0.38,1.5900440777049345,0.12039093736117279,0.15989159891598925
DenseNet121,0.3258333333333333,1.582521800994873,0.38,1.5900440777049345,0.10210876803551594,0.15989159891598925
DenseNet121,0.3491666666666667,1.5823425936698914,0.38,1.5900440777049345,0.13193286651105918,0.15989159891598925
DenseNet121,0.33,1.5836300539970398,0.38,1.5900440777049345,0.10815307820299513,0.15989159891598925
DenseNet121,0.3433333333333333,1.5818874049186706,0.38,1.5900440777049345,0.12628894555937464,0.15989159891598925
