Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.4716666666666667,0.55,1.305885099172592,0.9996488803625107
2,0.5725,0.62,1.0338481652736664,0.9550998249650001
3,0.615,0.69,0.9344521939754487,0.9295600792765617
4,0.645,0.6875,0.8907062113285065,0.8049170127511025
5,0.6408333333333334,0.6125,0.867534328699112,1.0002436335384846
6,0.665,0.7,0.8392560809850693,0.8151901589334011
7,0.6591666666666667,0.67,0.8264889222383499,0.8829338295012712
8,0.675,0.6825,0.820774495601654,0.8229554951190948
9,0.6858333333333333,0.7025,0.783357720375061,0.7664180162549019
10,0.685,0.695,0.7866923648118973,0.7906757217645645
11,0.7075,0.6975,0.7346098673343658,0.7856989669799804
12,0.7091666666666666,0.695,0.7111648470163345,0.8026587505638599
13,0.6958333333333333,0.7025,0.7343119376897812,0.7961390422284603
14,0.7166666666666667,0.7075,0.7028805685043334,0.8036907161772251
15,0.7116666666666667,0.6925,0.7218305516242981,0.7968623562157154
16,0.7116666666666667,0.7025,0.7272403705120086,0.7935048305988311
17,0.6941666666666667,0.715,0.7241464400291443,0.7816680300235749
18,0.6958333333333333,0.7,0.7007759135961532,0.7947960574924946
19,0.7091666666666666,0.695,0.6980846464633942,0.8045070934295654
20,0.7266666666666667,0.7025,0.6931787604093551,0.7940246705710888
