Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.31083333333333335,0.365,1.4833983206748962,1.5595107722282409
2,0.4191666666666667,0.2575,1.3808128881454467,1.6225409483909607
3,0.44416666666666665,0.2,1.2932509613037109,1.829606809616089
4,0.49833333333333335,0.17,1.2257191455364227,1.697245728969574
5,0.525,0.1425,1.1814285576343537,1.7335215878486634
6,0.5491666666666667,0.1675,1.1041007459163665,1.7200608587265014
7,0.5616666666666666,0.1625,1.0567002785205841,1.6340368604660034
8,0.5575,0.23,1.0350415682792664,1.6080618906021118
9,0.5491666666666667,0.1875,1.0257380950450896,1.6247111392021178
10,0.5683333333333334,0.2175,1.0331890058517457,1.655339810848236
11,0.6091666666666666,0.2025,0.9585843181610108,1.6945199966430664
12,0.6083333333333333,0.2075,0.9566674613952637,1.6617584466934203
13,0.61,0.215,0.9382687306404114,1.6535388207435608
14,0.6,0.225,0.9342531621456146,1.6245638751983642
15,0.6166666666666667,0.2375,0.911980277299881,1.6334207701683043
16,0.6216666666666667,0.235,0.9147472202777862,1.6348925614356995
17,0.6058333333333333,0.24,0.9190298581123352,1.634357602596283
18,0.61,0.2375,0.9441136276721954,1.6164008498191833
19,0.6166666666666667,0.24,0.9220090532302856,1.6064448285102844
20,0.6016666666666667,0.2275,0.9167527508735657,1.6422951793670655
