Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5366666666666666,0.3525,1.1239034509658814,1.571998469233513,0.6536993273950191,0.725
2,0.64,0.5375,0.9030465573072434,1.149523515701294,0.8114952340304453,0.725
3,0.6633333333333333,0.48,0.8603655523061753,1.3293546855449676,0.8168608699688966,0.725
4,0.6408333333333334,0.5025,0.8855523240566253,1.2207469475269317,0.7989518818484993,0.725
5,0.6541666666666667,0.585,0.8414271473884583,0.9861615520715713,0.8076566555431962,0.725
6,0.6958333333333333,0.5675,0.8040530103445053,1.0505722695589066,0.825959815111782,0.725
7,0.6933333333333334,0.48,0.785346360206604,1.6520800298452378,0.8282893822125411,0.725
8,0.675,0.535,0.8012465161085128,1.087383993268013,0.8297056241046259,0.725
9,0.7066666666666667,0.465,0.7621368086338043,1.1743704426288604,0.8368592538203846,0.725
10,0.705,0.4725,0.7152557516098023,1.1849818098545075,0.8440939104915628,0.725
11,0.7216666666666667,0.5,0.7031520241498947,1.1214921927452088,0.8633436894952496,0.725
12,0.7525,0.5125,0.6541388964653015,1.0687231504917145,0.8751749356688185,0.725
13,0.7575,0.505,0.6267978441715241,1.0916427993774414,0.8902450132070316,0.725
14,0.78,0.505,0.6166573131084442,1.1246286273002624,0.8956960414488934,0.725
15,0.775,0.505,0.5887947058677674,1.1014899498224258,0.8825303958314288,0.725
16,0.7841666666666667,0.5175,0.5646100306510925,1.1084199208021164,0.8918514487824786,0.725
17,0.7833333333333333,0.5275,0.5584525832533836,1.135204677581787,0.9045107311749727,0.725
18,0.7825,0.54,0.5575782251358032,1.0922594523429872,0.9060047453914948,0.725
19,0.8108333333333333,0.5275,0.5238851714134216,1.1153579890727996,0.9064866344311651,0.725
20,0.795,0.5275,0.5577325978875161,1.1089579248428345,0.9097926577506508,0.725
