Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5022222222222222,0.605,1.1161385186513264,1.035262879729271,0.7180461329715062,0.8284345461608184
2,0.5844444444444444,0.5975,0.968092504342397,0.9855477342009544,0.7696871628910464,0.8284345461608184
3,0.6155555555555555,0.57,0.9572127604484558,1.180086340457201,0.7901850150898833,0.8284345461608184
4,0.6455555555555555,0.6075,0.8731152749061585,1.0038903805613517,0.8049010367577757,0.8284345461608184
5,0.68,0.63,0.7926363841692606,1.1019429650902748,0.833265389319201,0.8284345461608184
6,0.695,0.59,0.7607864371935527,1.0624851232767105,0.848916991793354,0.8284345461608184
7,0.7055555555555556,0.62,0.7466798369089762,1.0088301312923431,0.8384480194673516,0.8284345461608184
8,0.7166666666666667,0.5425,0.7435894886652629,1.1352025556564331,0.8530728530728531,0.8284345461608184
9,0.7244444444444444,0.53,0.7265386827786764,1.3593497157096863,0.8552524979746152,0.8284345461608184
10,0.7411111111111112,0.6375,0.6936017835140228,0.9772063356637954,0.8670707070707071,0.8284345461608184
11,0.7805555555555556,0.6975,0.5741874937216441,0.9435275664925575,0.899283607248209,0.8284345461608184
12,0.8194444444444444,0.675,0.48542830407619475,0.9619614523649216,0.9133232917978913,0.8284345461608184
13,0.8288888888888889,0.685,0.4733361027638118,0.9849604332447052,0.9235390496996176,0.8284345461608184
14,0.8472222222222222,0.6775,0.4202489233016968,1.0384813910722732,0.9304871373836892,0.8284345461608184
15,0.8444444444444444,0.69,0.43515795171260835,1.0268007484078407,0.922165587546494,0.8284345461608184
16,0.8611111111111112,0.69,0.3789131154616674,1.0744509591162206,0.9437955201319225,0.8284345461608184
17,0.8633333333333333,0.6725,0.3647749595840772,1.1177594617009163,0.9386578839028407,0.8284345461608184
18,0.88,0.6725,0.35135212192932763,1.1612749440968038,0.9431613884663256,0.8284345461608184
19,0.8738888888888889,0.6725,0.3453440033396085,1.1651202929019928,0.9491850431447747,0.8284345461608184
20,0.8777777777777778,0.66,0.34014419515927635,1.195450511276722,0.9502487562189055,0.8284345461608184
