Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.5408333333333334,0.5625,1.1376282227039338,1.2548197838664055
2,0.6066666666666667,0.63,0.9786908972263336,1.0948277297616005
3,0.6266666666666667,0.5825,0.963781943321228,1.1308608067035675
4,0.6083333333333333,0.5975,0.9672765779495239,0.9550287422537803
5,0.635,0.56,0.9140378749370575,1.073284729719162
6,0.6225,0.615,0.9212036710977555,0.9888164341449738
7,0.6366666666666667,0.5975,0.9388659536838532,1.043378621339798
8,0.6433333333333333,0.615,0.8753740561008453,0.9681093561649322
9,0.6316666666666667,0.62,0.8832756400108337,0.9589223870635033
10,0.6666666666666666,0.6225,0.8783210861682892,0.8772118562459945
11,0.6725,0.66,0.8170977830886841,0.8829507726430893
12,0.6858333333333333,0.6775,0.7844430005550385,0.8485735863447189
13,0.7016666666666667,0.6925,0.7483517795801162,0.8600876498222351
14,0.7083333333333334,0.695,0.7540142971277237,0.8667090600728988
15,0.725,0.68,0.7096891373395919,0.8666506487131119
16,0.7283333333333334,0.6775,0.7265344285964965,0.8885787785053253
17,0.735,0.675,0.6999350154399872,0.8868533185124398
18,0.7283333333333334,0.66,0.7045482981204987,0.8955640590190888
19,0.725,0.6825,0.7018779575824737,0.868017522096634
20,0.7416666666666667,0.675,0.6657556831836701,0.8999508446455002
