Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss
1,0.3016666666666667,0.4825,1.486220281124115,1.2787047904729842
2,0.47583333333333333,0.505,1.19614804148674,1.1797088319063187
3,0.5766666666666667,0.505,1.0280470085144042,1.2030027747154235
4,0.6458333333333334,0.5325,0.9567303311824799,1.1469105291366577
5,0.6325,0.59,0.8900648701190949,1.068797926902771
6,0.6433333333333333,0.52,0.8842339611053467,1.1200751358270644
7,0.6541666666666667,0.55,0.8314909338951111,1.0819207972288132
8,0.6591666666666667,0.5775,0.818740786910057,1.05193750500679
9,0.6591666666666667,0.6025,0.8073809325695038,0.9808316332101822
10,0.6716666666666666,0.61,0.7935594862699509,0.9712262380123139
11,0.6891666666666667,0.6175,0.7393567699193955,0.9716139072179795
12,0.6958333333333333,0.615,0.7433217811584473,0.9665363454818725
13,0.7141666666666666,0.62,0.7163236355781555,0.9588321042060852
14,0.7108333333333333,0.6225,0.7196146303415298,0.9535143250226974
15,0.7175,0.6275,0.7132462400197983,0.9508763790130615
16,0.72,0.64,0.702227509021759,0.9294017040729523
17,0.7083333333333334,0.64,0.7042137432098389,0.9412547153234482
18,0.71,0.6225,0.709062649011612,0.9500765836238861
19,0.715,0.63,0.6986260050535202,0.9303579252958297
20,0.7008333333333333,0.6275,0.7094143611192704,0.9453198885917664
