Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.49333333333333335,0.2125,1.202794086933136,1.9439867007732392,0.6516540812657318,0.5628238341968912
2,0.6041666666666666,0.25,0.9460249853134155,1.7592386054992675,0.7985241285561705,0.5628238341968912
3,0.605,0.2175,0.9509074175357819,1.884045250415802,0.7911980440097799,0.5628238341968912
4,0.635,0.325,0.8837937641143799,1.4328413939476012,0.8251129430394486,0.5628238341968912
5,0.6508333333333334,0.2875,0.8609713900089264,1.5117833948135375,0.823006780453589,0.5628238341968912
6,0.665,0.4425,0.869995829463005,1.3230211234092712,0.8110321457146892,0.5628238341968912
7,0.6691666666666667,0.3575,0.8366896516084671,1.8740002179145814,0.833255049318929,0.5628238341968912
8,0.6766666666666666,0.3875,0.8093816751241684,2.316522545516491,0.8262276628675953,0.5628238341968912
9,0.695,0.415,0.7757259976863861,2.406455903351307,0.8525135022850021,0.5628238341968912
10,0.695,0.155,0.7578673821687698,3.577345368862152,0.8227716975183534,0.5628238341968912
11,0.7208333333333333,0.28,0.7033552008867264,3.1407107186317442,0.8534589182021854,0.5628238341968912
12,0.7366666666666667,0.2925,0.6639976066350937,3.1340685200691225,0.8806742705327287,0.5628238341968912
13,0.7475,0.3075,0.6254455822706223,3.1352634954452516,0.8802367941712204,0.5628238341968912
14,0.7408333333333333,0.3175,0.6463923305273056,3.2730377078056336,0.8751822157434402,0.5628238341968912
15,0.7416666666666667,0.3475,0.6251736414432526,3.402226207256317,0.8787407339617461,0.5628238341968912
16,0.765,0.3625,0.6039335602521896,3.6153062558174134,0.8966455122393472,0.5628238341968912
17,0.7541666666666667,0.36,0.5839801663160324,4.009174213409424,0.8919368246051538,0.5628238341968912
18,0.77,0.3625,0.5980620121955872,3.689947211742401,0.8900176878770012,0.5628238341968912
19,0.7691666666666667,0.3725,0.5571440291404725,4.316529107093811,0.9029789559989068,0.5628238341968912
20,0.7883333333333333,0.3775,0.5744825538992882,4.48684925198555,0.8905449464368886,0.5628238341968912
