Epoch,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Train_Kappa,Val_Kappa
1,0.5666666666666667,0.655,1.0945404040813447,0.9133760924637317,0.6730008681392882,0.8480483940659658
2,0.6383333333333333,0.62,0.9409392380714416,0.9427732008695603,0.772649405315452,0.8480483940659658
3,0.6341666666666667,0.62,0.9356217122077942,0.9846868944168091,0.7599509526504433,0.8480483940659658
4,0.6216666666666667,0.66,0.923324511051178,0.887095268368721,0.7851743477200683,0.8480483940659658
5,0.65,0.515,0.8990412592887879,1.335707994699478,0.7662171473570233,0.8480483940659658
6,0.6416666666666667,0.63,0.8813961493968964,0.9823390071094036,0.7773947662280914,0.8480483940659658
7,0.6508333333333334,0.6425,0.8790931236743927,0.9501714244484901,0.7857041821868075,0.8480483940659658
8,0.6683333333333333,0.6425,0.806363622546196,0.8844037765264511,0.8096446700507615,0.8480483940659658
9,0.67,0.6375,0.8176020014286042,0.9445944891870022,0.8248063411997838,0.8480483940659658
10,0.6775,0.56,0.8314332771301269,1.1456089037656785,0.8272305312016504,0.8480483940659658
11,0.6941666666666667,0.6325,0.759192590713501,0.8856587624549865,0.8551303122798779,0.8480483940659658
12,0.7491666666666666,0.66,0.6695743280649186,0.8515233451128006,0.8663496606804857,0.8480483940659658
13,0.7608333333333334,0.655,0.6417018920183182,0.8621747362613678,0.878556557945871,0.8480483940659658
14,0.76,0.655,0.629944127202034,0.8645321571826935,0.8727752742500796,0.8480483940659658
15,0.7475,0.655,0.6365932059288025,0.893321437239647,0.8713463751438435,0.8480483940659658
16,0.7616666666666667,0.6575,0.6130132710933686,0.8919355291128158,0.8809687000228467,0.8480483940659658
17,0.7641666666666667,0.6625,0.586710194349289,0.9071856695413589,0.884786355801506,0.8480483940659658
18,0.78,0.6775,0.5915316319465638,0.8711694484949112,0.8789384888969951,0.8480483940659658
19,0.7775,0.67,0.574561328291893,0.8824072754383088,0.8829028973433306,0.8480483940659658
20,0.7891666666666667,0.6875,0.5530945789813996,0.8807787641882896,0.8983212774669033,0.8480483940659658
