Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,1.1242696583271026,0.5525,0.6592648492088468,,0.625,0.7481912327989786
2,1.0000067174434661,0.6108333333333333,0.7537844245850812,,0.575,0.6513581629795575
3,0.932442633509636,0.6141666666666666,0.7516501310933087,,0.625,0.7570080292999014
4,0.8364354699850083,0.6675,0.7798291119926762,,0.6175,0.7137298499166204
5,0.8268542945384979,0.6875,0.806199122375662,,0.6425,0.7504933746828306
6,0.8448408365249633,0.6716666666666666,0.8098501625449543,,0.6475,0.778485491861288
7,0.7831017601490021,0.7058333333333333,0.8260435097498143,,0.6325,0.6689160691691269
8,0.7248741436004639,0.7541666666666667,0.8350455062745592,,0.67,0.7638307092301025
9,0.6155815261602402,0.7725,0.8612093219191479,,0.685,0.7873900293255132
10,0.5778717517852783,0.7841666666666667,0.8733790066063127,,0.69,0.8198794294956624
11,0.5813085395097732,0.7883333333333333,0.8720630760202266,,0.67,0.7855664004732328
12,0.5358926182985306,0.7975,0.8939559439286364,,0.685,0.8128577719066491
13,0.5720279186964035,0.7958333333333333,0.8873815564645575,,0.695,0.8194732169280853
14,0.49958656370639803,0.8116666666666666,0.8973429035341962,,0.6875,0.8085485307212823
15,0.5377171018719673,0.7925,0.8923001875028582,,0.68,0.8158598158598158
16,0.49701938569545745,0.8233333333333334,0.8942946076755609,,0.6825,0.8080330773774365
17,0.5016588881611824,0.8041666666666667,0.8819493119858339,,0.675,0.8084855627578079
18,0.46269752591848373,0.8266666666666667,0.9030042866337175,,0.68,0.8011237616442407
19,0.46818519562482835,0.8216666666666667,0.8912153785042791,,0.6875,0.8089454976303317
20,0.49106372326612474,0.8208333333333333,0.8925153084257696,,0.675,0.8157429245283019
