Epoch,Train_Loss,Train_Accuracy,Train_Kappa,Val_Loss,Val_Accuracy,Val_Kappa
1,1.2009943294525147,0.5225,0.6606606371045551,,0.625,0.7481912327989786
2,0.9618734753131867,0.6208333333333333,0.7664905606373209,,0.575,0.6513581629795575
3,0.929094420671463,0.6225,0.7982745322357602,,0.625,0.7570080292999014
4,0.8721549069881439,0.6633333333333333,0.8144093767021904,,0.6175,0.7137298499166204
5,0.8752600622177124,0.6633333333333333,0.7831467117375426,,0.6425,0.7504933746828306
6,0.8639826244115829,0.6608333333333334,0.8038387138471725,,0.6475,0.778485491861288
7,0.8275911355018616,0.6908333333333333,0.8088868017727633,,0.6325,0.6689160691691269
8,0.7799122911691666,0.6833333333333333,0.8219803995855338,,0.67,0.7638307092301025
9,0.714456279873848,0.7283333333333334,0.8459837295632257,,0.685,0.7873900293255132
10,0.6767258834838867,0.7441666666666666,0.853728349429225,,0.69,0.8198794294956624
11,0.657835504412651,0.745,0.8571146240569906,,0.67,0.7855664004732328
12,0.6725276613235474,0.7541666666666667,0.8778314404469596,,0.685,0.8128577719066491
13,0.6333580237627029,0.7533333333333333,0.8707751532850673,,0.695,0.8194732169280853
14,0.6587402439117431,0.755,0.8804404448630438,,0.6875,0.8085485307212823
15,0.6272190952301026,0.7608333333333334,0.8740499195695126,,0.68,0.8158598158598158
16,0.5973917311429977,0.7775,0.8928663289383926,,0.6825,0.8080330773774365
17,0.6109868794679642,0.78,0.8841092950057269,,0.675,0.8084855627578079
18,0.6058947157859802,0.7725,0.8865932173422866,,0.68,0.8011237616442407
19,0.6017181414365769,0.775,0.8852066318068237,,0.6875,0.8089454976303317
20,0.620125944018364,0.7575,0.8748509998163292,,0.675,0.8157429245283019
